"","Estado","Crimen violento","Asesinato","Violacion","Robo","Asalto"
"1","ALABAMA",510.8,7.3,42.2,80.4,381
"2","ALASKA",867.1,9.4,148.7,112.9,596
"3","ARIZONA",455.3,5,50.3,88.1,311.9
"4","ARKANSAS",584.6,8,77.2,51.6,447.8
"5","CALIFORNIA",441.2,4.3,37.5,132.4,267.1
"6","COLORADO",381,3.8,67.2,63.6,246.3
"7","CONNECTICUT",183.6,2.9,21.6,54.1,105
"8","DELAWARE",422.6,4.9,31.8,81.1,304.7
"9","DISTRICT OF COLUMBIA",1049,23.5,48.9,384.4,592.1
"10","FLORIDA",378.4,5.2,39.4,75.5,258.3
"11","GEORGIA",340.7,6.2,27.5,75,232
"12","HAWAII",285.5,3.4,54,79.9,148.2
"13","IDAHO",223.8,2,45.3,8.7,167.9
"14","ILLINOIS",406.9,6.6,48,98.4,254
"15","INDIANA",370.8,5.6,36.8,79.2,249.3
"16","IOWA",266.6,1.9,36.9,27.4,200.4
"17","KANSAS",410.8,3.6,48.6,44.4,314.2
"18","KENTUCKY",217.1,4.9,35.2,48.4,128.6
"19","LOUISIANA",549.3,11.7,48.9,86.6,402.1
"20","MAINE",115.2,1.5,38.4,14,61.3
"21","MARYLAND",454.1,9,31.6,152.2,261.3
"22","MASSACHUSETTS",327.6,2.2,32,52.4,241
"23","MICHIGAN",437.4,5.6,72.4,53.6,305.9
"24","MINNESOTA",236.4,2.1,43.4,55.8,135.1
"25","MISSISSIPPI",277.9,11.2,25.1,57.1,184.6
"26","MISSOURI",495,9.3,47.5,80.8,357.4
"27","MONTANA",404.9,2.5,58.4,19.2,324.9
"28","NEBRASKA",300.9,2.3,64.8,40.9,192.9
"29","NEVADA",493.8,4.6,70.2,106.7,312.3
"30","NEW HAMPSHIRE",152.5,2.4,43.4,23,83.7
"31","NEW JERSEY",206.9,2.9,17.2,64.5,122.2
"32","NEW MEXICO",832.2,8.6,61.4,111.6,650.5
"33","NEW YORK",358.6,2.9,33.8,92.9,229
"34","NORTH CAROLINA",371.8,6,31,72.5,262.4
"35","NORTH DAKOTA",284.6,3.1,57.3,23.5,200.6
"36","OHIO",293.2,4.6,49,75.7,163.9
"37","OKLAHOMA",431.8,6.7,57.3,59.9,307.9
"38","OREGON",284.4,2.8,42.2,54,185.5
"39","PENNSYLVANIA",306.4,5.2,34,76.1,191.1
"40","PUERTO RICO",202.9,19,6.7,66.4,110.7
"41","RHODE ISLAND",221.1,2.4,46.3,39.5,132.9
"42","SOUTH CAROLINA",511.3,9,47.8,64,390.5
"43","SOUTH DAKOTA",399,1.9,72.6,22,302.5
"44","TENNESSEE",595.2,7.3,41.2,90.1,456.7
"45","TEXAS",418.9,4.9,51.1,100,263
"46","UTAH",235.6,2.2,56.8,35.1,141.4
"47","VERMONT",202.2,1.8,44.6,11.4,144.6
"48","VIRGINIA",208,5,33,41.3,128.7
"49","WASHINGTON",293.9,2.6,43.8,67.6,179.9
"50","WEST VIRGINIA",316.6,4.4,42.1,21.1,249.1
"51","WISCONSIN",293.2,3,38.8,51.4,200
"52","WYOMING",217.4,2.2,56,11.6,147.6
